track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_12135,16.6514,15.7083,0.4432,0.3808
track_12137,23.6803,20.5636,0.5670,0.4943
track_12140,15.3445,14.5881,0.4319,0.3673
track_12146,17.6377,16.5851,0.5181,0.4537
track_12162,17.2560,16.2981,0.5106,0.4403
track_12168,18.7819,17.7283,0.4247,0.3753
track_12183,17.3699,16.4077,0.4559,0.3952
track_12194,16.8767,15.8334,0.4384,0.3815
track_12211,20.8767,19.0735,0.5969,0.5205
track_12215,16.3515,15.6499,0.4427,0.3789
track_12225,21.4065,19.2785,0.6762,0.6185
track_12233,18.2644,16.9740,0.4866,0.4328
track_12234,16.4555,15.2723,0.4712,0.4326
track_12240,18.7051,17.5151,0.5067,0.4581
track_12243,15.0259,14.5985,0.3324,0.2826
track_12247,17.2911,16.7582,0.4146,0.3527
track_12273,16.5960,15.2332,0.4974,0.4229
track_12293,19.0799,17.4880,0.6040,0.5331
track_12304,16.9213,16.4024,0.3752,0.3371
track_12336,15.0205,14.0981,0.4139,0.3437
track_12402,17.2906,16.4210,0.4876,0.4246
track_12426,17.1707,16.1761,0.4513,0.3817
track_12451,18.8467,17.4864,0.4812,0.4209
track_12470,20.0719,18.7610,0.4799,0.4207
track_12478,20.6153,19.8409,0.4831,0.4478
track_12485,15.7694,14.9794,0.4435,0.3946
track_12486,21.0674,18.8987,0.3990,0.3869
track_12513,20.5589,19.6063,0.4910,0.4792
track_12537,22.9712,20.7386,0.5821,0.5598
track_12556,18.0971,17.2968,0.4492,0.4194
track_12569,18.6993,18.0175,0.4205,0.3630
track_12593,13.9476,13.4965,0.2283,0.2044
track_12607,15.9635,14.9999,0.3503,0.2855
track_12617,15.6870,14.5707,0.4351,0.3594
track_12635,14.6391,13.9563,0.3171,0.2582
track_12672,15.5222,14.6039,0.3519,0.2772
track_12677,15.9754,14.9810,0.4463,0.3752
track_12686,14.7932,14.1422,0.2696,0.2011
track_12694,15.7695,14.5368,0.4253,0.3465
track_12697,14.7847,14.0800,0.3545,0.2852
track_12702,12.6813,12.1738,0.2075,0.1706
track_12705,14.3030,13.6927,0.2902,0.2367
track_12718,16.2361,15.0284,0.4057,0.3328
track_12733,16.0576,14.9619,0.3767,0.2897
track_12770,14.3329,13.8818,0.2383,0.2043
track_12806,14.5052,13.9761,0.3362,0.2753
track_12814,14.6094,13.9321,0.3031,0.2358
track_12826,16.5951,15.5733,0.3199,0.2746
track_12849,15.1349,13.9476,0.3685,0.2774
track_12886,20.1653,18.1317,0.6098,0.5216
track_12890,13.9305,13.4712,0.3211,0.2743
track_12925,13.2679,12.6038,0.2337,0.1912
track_12931,15.9479,15.0285,0.3433,0.2809
track_12954,15.7796,14.9122,0.3611,0.2808
track_12961,16.7293,15.4790,0.4322,0.3486
track_12962,15.1799,14.2229,0.3837,0.3123
track_12991,14.6089,13.9208,0.2695,0.2155
track_12994,15.5457,14.8517,0.3842,0.3243
track_13000,14.1593,13.3573,0.2887,0.2339
track_13002,15.8562,14.7550,0.4379,0.3470
track_13006,15.6236,14.7414,0.3512,0.2769
track_13023,18.7379,17.8684,0.5132,0.4585
track_13033,15.0830,14.2111,0.3988,0.3086
track_13053,14.3394,13.6980,0.3480,0.2981
track_13068,18.7555,17.2446,0.5202,0.4365
track_13100,17.5002,15.6723,0.5919,0.4931
track_13121,12.7992,12.3736,0.2269,0.1932
track_13122,18.1705,16.9069,0.4518,0.3695
track_13125,14.8574,14.0346,0.4284,0.3521
track_13129,14.5868,13.6958,0.2908,0.2197
track_13130,15.9813,14.5877,0.4227,0.3324
track_13131,14.5294,13.6841,0.3065,0.2509
track_13139,18.0901,17.1684,0.4102,0.3452
track_13168,14.0752,13.3065,0.3244,0.2619
track_13174,14.2099,13.4359,0.3217,0.2615
track_13191,20.0016,18.3166,0.6003,0.5098
track_13218,14.6382,13.8694,0.3054,0.2401
track_13231,13.8681,13.3998,0.2951,0.2531
track_13244,20.2979,19.2885,0.5108,0.4589
track_13259,15.6195,14.7400,0.4645,0.3916
track_13262,17.8519,16.1362,0.5746,0.4603
track_13295,14.0802,13.3059,0.3429,0.2676
