track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_20225,18.8579,17.6823,0.4944,0.4276
track_20246,15.8204,15.3841,0.3102,0.2765
track_20247,17.7967,17.0835,0.3573,0.3247
track_20273,16.6886,15.5657,0.5083,0.4322
track_20280,20.6382,19.5518,0.5139,0.4512
track_20289,15.4657,14.7247,0.3755,0.3294
track_20291,14.7615,14.4097,0.2704,0.2318
track_20306,15.7806,15.1730,0.3847,0.3480
track_20322,20.4109,19.6348,0.4359,0.4311
track_20332,17.5655,16.4739,0.4747,0.4059
track_20339,15.1373,14.6479,0.3436,0.3106
track_20342,17.1841,16.5956,0.3930,0.3528
track_20344,21.3098,19.6054,0.6247,0.5540
track_20367,23.0248,21.6161,0.5762,0.5510
track_20378,18.2430,17.0325,0.5994,0.5360
track_20379,14.3139,14.0502,0.3959,0.3617
track_20407,16.0972,15.6406,0.3801,0.3484
track_20430,16.2805,15.2792,0.4515,0.3673
track_20462,15.3000,14.7148,0.4103,0.3582
track_20510,15.9067,15.1923,0.3984,0.3458
track_20517,14.4732,13.9780,0.3171,0.2821
track_20518,15.8105,15.2005,0.3998,0.3455
track_20525,14.3016,14.0807,0.2833,0.2605
track_20526,17.5658,16.7840,0.4509,0.4104
track_20548,20.5858,19.1296,0.6696,0.5945
track_20558,20.2399,18.9996,0.6021,0.5633
track_20564,18.3217,17.4727,0.5234,0.4646
track_20583,17.1778,16.1655,0.4729,0.4204
track_20599,15.2558,14.5502,0.3779,0.3186
track_20601,15.2724,14.6887,0.3509,0.3042
track_20614,16.1402,15.6605,0.4057,0.3821
track_20629,15.6312,14.9829,0.4607,0.4008
track_20637,18.1702,16.7603,0.5221,0.4453
track_20644,15.7705,15.0467,0.4522,0.4075
track_20662,14.8043,14.2367,0.3230,0.2769
track_20672,16.4956,15.5988,0.4359,0.3819
track_20675,16.4631,15.3386,0.4418,0.3812
track_20694,22.0862,20.5024,0.6387,0.5958
track_20695,17.5740,16.7987,0.4804,0.4418
track_20696,18.3104,17.7008,0.4633,0.4206
track_20706,14.7662,14.2452,0.3222,0.2793
track_20719,16.2175,15.3952,0.4481,0.3804
track_20723,18.5407,17.4047,0.5469,0.4805
track_20726,14.3556,13.9416,0.2909,0.2541
track_20733,16.1888,15.2773,0.5273,0.4588
track_20735,16.2142,15.2462,0.4396,0.3848
track_20736,16.1955,15.2448,0.4858,0.4080
track_20737,17.0053,16.2613,0.3589,0.3146
track_20756,17.8235,17.0640,0.4829,0.4229
track_20791,17.3316,16.3455,0.4300,0.3715
track_20797,15.8378,15.3453,0.2816,0.2443
track_20812,18.4613,17.2400,0.4903,0.4303
track_20818,15.3543,14.7521,0.3474,0.2825
track_20823,18.7050,17.5406,0.5346,0.4731
track_20825,19.9021,18.4845,0.6400,0.5591
track_20829,16.2635,15.4053,0.5168,0.4420
track_20851,18.2895,17.5976,0.3982,0.3411
track_20879,15.6342,14.9700,0.4564,0.4143
track_20908,19.4811,18.6028,0.5656,0.5058
track_20953,18.9250,17.8562,0.5105,0.4681
track_20960,18.5533,17.9565,0.4556,0.4081
track_20980,19.5954,17.8937,0.6368,0.5730
track_21021,17.2529,16.4266,0.3973,0.3475
track_21024,16.5848,15.9281,0.4170,0.3561
track_21033,15.0372,14.4242,0.3677,0.3100
track_21045,16.3601,15.4654,0.4664,0.3929
track_21049,18.9524,18.3059,0.5280,0.4992
track_21053,15.0229,14.5560,0.4349,0.3969
track_21059,17.6227,16.9113,0.3637,0.3397
track_21064,16.5218,15.9004,0.5301,0.4742
track_21074,16.3524,15.7505,0.2385,0.2254
track_21129,20.5077,19.0770,0.5666,0.5029
track_21136,14.8707,14.4404,0.2939,0.2621
track_21175,15.5769,15.1205,0.3585,0.3225
track_21183,15.5521,15.0616,0.3500,0.3134
track_21208,17.0499,16.2227,0.4180,0.3686
track_21241,16.6692,16.2643,0.5007,0.4641
track_21257,14.1153,13.7441,0.2719,0.2520
track_21259,15.3980,14.7853,0.4110,0.3678
track_21266,16.8756,15.9507,0.3975,0.3462
track_21282,16.4979,16.0315,0.2798,0.2505
track_21329,13.3560,13.0050,0.2260,0.1903
track_21362,14.7166,14.2324,0.4307,0.3833
track_21378,15.0325,14.4129,0.3918,0.3452
track_21380,15.9434,14.9797,0.4340,0.3636
track_21398,15.4880,14.9511,0.3806,0.3373
track_21455,15.0961,14.4317,0.4721,0.4223
track_21466,14.4965,13.9471,0.3042,0.2637
track_21481,13.7037,13.2416,0.3077,0.2633
track_21484,17.1444,16.6351,0.4184,0.3578
track_21497,17.7516,16.8428,0.4175,0.3790
track_21536,17.7106,17.3549,0.2723,0.2423
track_21583,16.8765,15.7502,0.4844,0.4309
track_21608,19.3805,18.8344,0.3510,0.3433
track_21625,17.2145,16.1160,0.5042,0.4366
track_21649,15.6616,15.0197,0.3900,0.3426
track_21674,20.3502,18.8959,0.5380,0.4940
track_21694,14.9469,14.2850,0.3610,0.3138
track_21708,18.1291,17.3365,0.3769,0.3410
track_21723,17.1930,16.9838,0.2577,0.2304
track_21725,16.4876,15.8052,0.3607,0.3187
track_21728,16.3972,15.5907,0.4693,0.4184
track_21730,16.7389,15.9843,0.3304,0.2720
track_21793,15.5979,15.1156,0.3489,0.3001
track_21846,13.8896,13.3798,0.3527,0.3131
track_21864,17.8902,16.8279,0.4863,0.4109
track_21870,14.4032,14.1594,0.3016,0.2697
track_21874,15.6790,15.0866,0.2911,0.2598
track_21888,16.0624,15.2034,0.4053,0.3437
track_21891,15.6545,14.9418,0.3711,0.3330
track_21911,14.4409,13.7708,0.3516,0.3049
track_21928,15.2769,14.6476,0.3379,0.2730
track_21931,15.1934,14.5228,0.4322,0.3775
track_21999,16.5399,15.8067,0.4870,0.4360
track_22002,16.4026,15.8465,0.3871,0.3452
track_22006,16.8896,15.8811,0.4819,0.4045
track_22009,15.2046,14.8170,0.3178,0.2825
track_22018,20.5710,19.7558,0.5779,0.5440
track_22033,13.6030,13.1958,0.2752,0.2498
track_22047,19.8069,19.1516,0.4508,0.3962
track_22062,14.8767,14.2353,0.3395,0.2941
track_22064,16.4325,16.0189,0.2611,0.2193
track_22085,16.3757,16.0206,0.2410,0.2202
track_22131,14.5358,14.1402,0.2707,0.2401
track_22133,17.0097,16.3763,0.3406,0.3065
track_22136,15.7185,15.1304,0.3904,0.3626
track_22140,15.6058,14.8696,0.4422,0.3845
track_22155,15.4542,14.7394,0.4055,0.3561
track_22161,16.9557,16.3787,0.3808,0.3457
track_22188,15.6042,14.7889,0.4003,0.3258
track_22198,15.3225,14.3429,0.4283,0.3577
track_22214,21.4502,20.4956,0.5324,0.4892
track_22223,16.2477,15.7687,0.3188,0.2905
track_22256,15.9121,14.8585,0.4850,0.4028
track_22259,15.8844,15.2889,0.4315,0.3719
track_22269,15.0356,14.4109,0.3699,0.3170
track_22277,19.6078,18.7544,0.4051,0.3615
track_22314,17.7934,17.2114,0.3517,0.3140
track_22330,15.5925,15.2295,0.2340,0.2007
track_22336,13.2978,12.9273,0.3182,0.2674
track_22338,20.4323,19.4470,0.5352,0.4639
track_22339,16.2519,15.5787,0.3796,0.3247
track_22351,13.9835,13.6447,0.3195,0.2623
track_22409,16.7526,15.9870,0.4777,0.4222
track_22441,17.2056,16.4201,0.5712,0.5165
track_22442,17.2529,15.9908,0.5770,0.5009
track_22444,18.3635,17.6518,0.4955,0.4398
track_22446,16.2671,15.6073,0.4477,0.3810
track_22457,15.0993,14.6415,0.3743,0.3205
track_22481,18.6341,17.3244,0.4242,0.3781
track_22486,17.4498,16.3908,0.5176,0.4694
track_22515,12.6504,12.3630,0.1578,0.1369
track_22528,16.2786,15.7930,0.3534,0.3247
track_22533,14.3786,13.8091,0.3183,0.2740
track_22560,17.5442,16.7198,0.4046,0.3487
track_22562,13.2482,12.7860,0.2733,0.2354
track_22567,19.6655,18.2791,0.3890,0.3463
track_22570,15.3730,14.6766,0.4370,0.3743
track_22577,16.8654,15.6777,0.5271,0.4609
track_22579,13.6100,13.2732,0.2984,0.2772
track_22583,19.5675,18.9247,0.3860,0.3376
track_22591,14.6438,14.0921,0.3715,0.3044
track_22610,15.9077,14.9140,0.4133,0.3535
track_22628,17.4313,16.0641,0.5755,0.4865
track_22640,16.0166,15.4046,0.4186,0.3667
track_22645,16.6586,16.1048,0.3868,0.3559
track_22656,17.3345,16.4784,0.4142,0.3584
track_22661,15.5987,14.7554,0.4896,0.4221
track_22681,14.8951,14.2507,0.3915,0.3260
track_22698,16.7835,15.9655,0.4791,0.4217
track_22716,17.2976,16.5463,0.3686,0.3138
track_22754,16.2681,15.5237,0.4733,0.4256
track_22769,16.3704,15.5885,0.4506,0.3923
track_22786,17.0518,15.9455,0.5151,0.4411
track_22820,15.3400,14.7627,0.3304,0.2848
track_22822,15.3818,14.4440,0.4178,0.3526
track_22835,15.8751,14.8302,0.5058,0.4212
track_22844,18.0642,17.0357,0.4774,0.4175
track_22845,15.4604,15.2872,0.2765,0.2612
track_22864,16.6815,15.6420,0.5496,0.4760
track_22870,15.4410,15.1871,0.2734,0.2422
track_22885,15.0720,14.5016,0.4011,0.3612
track_22894,15.4295,15.1358,0.2117,0.1870
track_22926,15.5508,14.8686,0.3823,0.3253
track_22938,15.1746,14.4460,0.3812,0.3271
track_22953,15.8880,15.2816,0.3015,0.2458
track_22958,15.3156,14.6135,0.4261,0.3754
