epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.501669,1.159091,17.7177,8.2082,0.00029205,0.249802,0.252363,0,0.310596,0.310596,570.97,16.33,587.30
2,0.597816,0.406057,61.3614,60.2603,0.00054496,0.256501,0.262159,0,0.112255,0.112255,569.50,16.43,585.93
3,0.394878,0.316281,67.1672,66.8669,0.00079829,0.255063,0.259679,0,0.095381,0.095381,568.56,16.44,585.00
4,0.348836,0.278535,68.5686,68.2683,0.00079943,0.252788,0.253790,0,0.084799,0.084799,567.91,16.62,584.53
5,0.297513,0.253081,72.1722,71.8719,0.00079771,0.250107,0.251825,0,0.078364,0.078364,567.35,16.49,583.84
6,0.260975,0.235769,74.3744,74.2743,0.00079485,0.248272,0.251458,0,0.073645,0.073645,566.56,16.58,583.13
7,0.243775,0.231920,74.3744,74.2743,0.00079085,0.248159,0.251885,0,0.070213,0.070213,565.75,16.56,582.30
8,0.227205,0.219954,75.0751,74.9750,0.00078572,0.244731,0.248779,0,0.068926,0.068926,565.42,16.48,581.91
9,0.212943,0.215570,75.4755,75.3754,0.00077949,0.243802,0.249578,0,0.066781,0.066781,564.59,16.62,581.21
10,0.200093,0.213598,75.4755,75.2753,0.00077216,0.244065,0.250182,0,0.066495,0.066495,564.41,16.54,580.95
11,0.186187,0.208359,76.6767,76.4765,0.00076376,0.243728,0.250176,0,0.064922,0.064922,564.10,16.57,580.67
12,0.181603,0.203051,77.0771,76.9770,0.00075432,0.243798,0.251311,0,0.063206,0.063206,564.37,16.61,580.98
13,0.171127,0.200913,77.3774,77.3774,0.00074386,0.242703,0.250952,0,0.061776,0.061776,564.36,16.64,581.00
14,0.162958,0.200637,77.8779,77.8779,0.00073242,0.241837,0.250295,0,0.061061,0.061061,564.16,16.54,580.70
15,0.150121,0.196185,78.5786,78.5786,0.00072002,0.241099,0.250297,0,0.059345,0.059345,563.91,17.08,580.99
16,0.145897,0.194476,79.3794,79.3794,0.00070672,0.241826,0.251213,0,0.058344,0.058344,568.45,17.61,586.06
17,0.139863,0.192875,78.9790,78.9790,0.00069255,0.241155,0.252253,0,0.056914,0.056914,569.47,18.02,587.49
18,0.136060,0.192000,78.4785,78.4785,0.00067760,0.240397,0.251317,0,0.056771,0.056771,568.01,17.58,585.60
19,0.124989,0.188784,78.3784,78.3784,0.00066182,0.239748,0.250452,0,0.057772,0.057772,568.27,18.13,586.40
20,0.118011,0.189287,77.6777,77.6777,0.00064531,0.238567,0.250985,0,0.058487,0.058487,570.90,17.20,588.10
21,0.112379,0.192000,79.3794,79.3794,0.00062811,0.237667,0.251690,0,0.056199,0.056199,570.22,19.92,590.14
22,0.104890,0.193821,78.8789,78.8789,0.00061027,0.237202,0.251742,0,0.055913,0.055913,569.71,18.52,588.23
23,0.101779,0.195105,79.4795,79.3794,0.00059187,0.237999,0.253075,0,0.055198,0.055198,568.05,17.56,585.60
24,0.096647,0.198842,79.9800,79.9800,0.00057293,0.236199,0.251966,0,0.055627,0.055627,567.01,16.85,583.86
25,0.089996,0.204901,79.4795,79.4795,0.00055357,0.237134,0.253653,0,0.055770,0.055770,567.91,17.05,584.96
26,0.086124,0.206817,79.2793,79.2793,0.00053377,0.234572,0.251716,0,0.055770,0.055770,566.54,18.55,585.09
27,0.082660,0.207050,79.0791,79.0791,0.00051363,0.233716,0.251794,0,0.055770,0.055770,564.68,16.58,581.26
28,0.076507,0.211515,78.8789,78.8789,0.00049320,0.231968,0.251147,0,0.055770,0.055770,561.94,16.69,578.62
29,0.073401,0.217787,79.2793,79.2793,0.00047254,0.231031,0.251203,0,0.055484,0.055484,562.59,16.55,579.15
30,0.069295,0.220192,79.2793,79.2793,0.00045180,0.232758,0.253268,0,0.053768,0.053768,562.51,16.70,579.21
31,0.065336,0.220667,79.0791,79.0791,0.00043089,0.232273,0.253983,0,0.055484,0.055484,561.38,16.78,578.16
32,0.060820,0.222307,78.5786,78.4785,0.00040995,0.230558,0.253831,0,0.055055,0.055055,561.20,16.56,577.76
33,0.057564,0.229695,77.8779,77.7778,0.00038904,0.230116,0.254127,0,0.055913,0.055913,560.83,16.26,577.09
34,0.055158,0.233765,77.9780,77.9780,0.00036822,0.229427,0.254435,0,0.056628,0.056628,561.00,16.32,577.32
35,0.054559,0.235963,77.7778,77.7778,0.00034757,0.229000,0.253593,0,0.057343,0.057343,562.07,16.35,578.42
36,0.051324,0.240343,77.9780,77.9780,0.00032713,0.227779,0.253458,0,0.056914,0.056914,562.12,16.39,578.51
37,0.049168,0.240898,78.2783,78.2783,0.00030700,0.226729,0.252930,0,0.056628,0.056628,561.47,16.35,577.82
38,0.045254,0.247103,78.8789,78.8789,0.00028719,0.224863,0.252661,0,0.056056,0.056056,560.11,16.27,576.38
39,0.045084,0.251713,78.5786,78.5786,0.00026778,0.224603,0.253057,0,0.055484,0.055484,560.20,16.36,576.56
40,0.042669,0.253417,78.7788,78.6787,0.00024883,0.223453,0.252476,0,0.055484,0.055484,560.47,16.33,576.80
41,0.041239,0.253442,78.2783,78.1782,0.00023043,0.224292,0.253744,0,0.055913,0.055913,560.39,16.39,576.78
42,0.041145,0.255612,78.5786,78.4785,0.00021257,0.222813,0.253516,0,0.055770,0.055770,559.88,16.31,576.20
