epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.447413,1.048505,24.6246,14.9149,0.00029205,0.249786,0.256300,0,0.268840,0.268840,572.34,16.72,589.06
2,0.598616,0.406804,61.2613,59.7598,0.00054496,0.257673,0.267234,0,0.114114,0.114114,570.71,16.60,587.31
3,0.407777,0.325651,66.9670,66.5666,0.00079829,0.254980,0.261127,0,0.096382,0.096382,568.71,16.70,585.41
4,0.333307,0.281136,71.6717,71.2713,0.00079943,0.251607,0.256680,0,0.083798,0.083798,568.07,16.80,584.87
5,0.290568,0.258049,73.2733,72.9730,0.00079771,0.248958,0.254045,0,0.078364,0.078364,568.15,16.76,584.91
6,0.255838,0.242692,73.7738,73.5736,0.00079485,0.244760,0.251027,0,0.072215,0.072215,567.98,16.86,584.83
7,0.239275,0.231228,74.8749,74.5746,0.00079086,0.244796,0.250987,0,0.069927,0.069927,566.23,16.73,582.95
8,0.217353,0.219939,75.2753,75.2753,0.00078573,0.242954,0.250499,0,0.067782,0.067782,565.57,16.73,582.29
9,0.202424,0.211276,75.6757,75.5756,0.00077949,0.242490,0.249765,0,0.065065,0.065065,565.23,16.80,582.04
10,0.193786,0.204004,75.7758,75.5756,0.00077216,0.242601,0.250206,0,0.063492,0.063492,565.02,16.80,581.82
11,0.184625,0.201532,77.0771,76.8769,0.00076378,0.241989,0.250718,0,0.061347,0.061347,564.81,16.79,581.61
12,0.172337,0.201623,77.3774,77.1772,0.00075433,0.241571,0.250895,0,0.060060,0.060060,564.26,16.79,581.05
13,0.166682,0.200568,77.2773,77.1772,0.00074388,0.242116,0.251450,0,0.059774,0.059774,564.33,16.76,581.09
14,0.156437,0.195835,77.4775,77.3774,0.00073244,0.241401,0.251224,0,0.058773,0.058773,564.30,16.73,581.03
15,0.146328,0.195450,77.4775,77.3774,0.00072005,0.240947,0.251024,0,0.059059,0.059059,564.62,16.80,581.41
16,0.144074,0.194685,78.1782,78.1782,0.00070677,0.240992,0.250563,0,0.058487,0.058487,564.46,16.88,581.34
17,0.134657,0.198297,77.8779,77.6777,0.00069260,0.238994,0.249320,0,0.058344,0.058344,563.30,16.90,580.20
18,0.128573,0.193996,78.6787,78.5786,0.00067760,0.238780,0.249625,0,0.057200,0.057200,563.23,16.80,580.03
19,0.123343,0.189480,78.5786,78.4785,0.00066182,0.238454,0.250423,0,0.056485,0.056485,563.20,16.80,580.00
20,0.118107,0.187546,78.9790,78.9790,0.00064533,0.237346,0.249980,0,0.056056,0.056056,563.64,16.78,580.42
21,0.109562,0.190539,79.3794,79.3794,0.00062814,0.235888,0.249987,0,0.054912,0.054912,562.60,16.74,579.35
22,0.104618,0.190429,79.0791,79.0791,0.00061031,0.235078,0.249277,0,0.054769,0.054769,562.95,16.77,579.72
23,0.100069,0.195742,79.2793,79.2793,0.00059190,0.235723,0.250435,0,0.055484,0.055484,562.43,16.77,579.20
24,0.092345,0.200128,79.2793,79.2793,0.00057297,0.234464,0.250738,0,0.056056,0.056056,562.85,16.86,579.71
25,0.088535,0.202801,78.7788,78.7788,0.00055357,0.234086,0.250719,0,0.054626,0.054626,563.03,16.81,579.84
26,0.084556,0.205415,79.1792,79.1792,0.00053377,0.233284,0.251372,0,0.053768,0.053768,562.53,16.80,579.32
27,0.078478,0.207607,79.3794,79.3794,0.00051366,0.231924,0.250872,0,0.053482,0.053482,562.87,16.76,579.63
28,0.074428,0.209390,79.7798,79.7798,0.00049327,0.230719,0.251674,0,0.054054,0.054054,561.97,16.72,578.68
29,0.069490,0.210332,79.7798,79.7798,0.00047261,0.229636,0.251433,0,0.054054,0.054054,561.66,16.90,578.56
30,0.066131,0.214072,79.3794,79.3794,0.00045180,0.229175,0.251340,0,0.053339,0.053339,561.65,16.82,578.47
31,0.063396,0.218270,79.2793,79.2793,0.00043089,0.229025,0.252719,0,0.053196,0.053196,561.43,16.78,578.20
32,0.061607,0.218052,79.4795,79.4795,0.00040995,0.228205,0.252639,0,0.053768,0.053768,562.07,16.78,578.85
33,0.056147,0.223913,79.3794,79.2793,0.00038904,0.226808,0.252151,0,0.054197,0.054197,561.90,16.57,578.47
34,0.054523,0.229176,79.2793,79.1792,0.00036826,0.226564,0.252472,0,0.054197,0.054197,561.43,16.59,578.03
35,0.051309,0.234846,78.7788,78.6787,0.00034760,0.226097,0.252611,0,0.055627,0.055627,560.94,16.62,577.56
36,0.048298,0.236093,79.4795,79.2793,0.00032716,0.225315,0.253695,0,0.054340,0.054340,561.09,16.61,577.70
37,0.047599,0.239159,78.8789,78.6787,0.00030700,0.224306,0.253917,0,0.054912,0.054912,560.74,16.53,577.27
38,0.045558,0.243809,78.5786,78.5786,0.00028719,0.223573,0.253103,0,0.055484,0.055484,561.52,16.59,578.11
39,0.044517,0.252119,78.8789,78.8789,0.00026778,0.223084,0.253424,0,0.055198,0.055198,561.55,16.58,578.14
40,0.041228,0.255037,78.9790,78.9790,0.00024883,0.222435,0.253840,0,0.054769,0.054769,561.10,16.72,577.82
41,0.039505,0.259479,79.0791,79.0791,0.00023040,0.221294,0.253287,0,0.054626,0.054626,561.55,16.56,578.11
42,0.038931,0.266542,78.6787,78.6787,0.00021257,0.219641,0.252876,0,0.055341,0.055341,561.39,16.59,577.98
43,0.037463,0.272347,78.6787,78.6787,0.00019541,0.219683,0.252601,0,0.054912,0.054912,560.64,16.63,577.28
44,0.038250,0.273189,78.9790,78.9790,0.00017886,0.218787,0.252661,0,0.055627,0.055627,559.69,16.67,576.36
45,0.035584,0.277848,78.8789,78.8789,0.00016305,0.218708,0.253445,0,0.055913,0.055913,559.14,16.65,575.79
46,0.034402,0.284921,79.0791,79.0791,0.00014802,0.218970,0.253960,0,0.055341,0.055341,559.36,17.79,577.15
