track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_22786,20.2364,17.6376,0.7017,0.5490
track_22820,17.7617,16.1953,0.5014,0.3907
track_22822,17.7554,14.7015,0.6434,0.3933
track_22835,14.9927,13.3864,0.4696,0.2721
track_22844,20.1133,17.5519,0.6263,0.4969
track_22845,19.0551,16.7023,0.5255,0.3687
track_22864,15.8915,14.1682,0.4902,0.3426
track_22870,20.6955,16.8892,0.6530,0.4122
track_22885,18.1887,15.8459,0.5845,0.4275
track_22894,17.9239,15.7856,0.5061,0.3039
track_22926,17.9194,15.3928,0.5673,0.3084
track_22938,17.1669,14.9099,0.5268,0.3650
track_22953,16.9721,15.2865,0.4683,0.2916
track_22958,16.6854,14.4926,0.5963,0.3865
