track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_17411,16.5557,15.5849,0.4772,0.3936
track_17421,16.4612,15.4250,0.3417,0.2726
track_17506,15.0618,14.0470,0.4161,0.3214
track_17556,14.4509,13.7347,0.3041,0.2516
track_17566,15.4905,14.1656,0.4604,0.3553
track_17576,14.5704,13.8023,0.3876,0.3145
track_17578,15.4304,14.1882,0.4921,0.4141
track_17593,16.9502,15.7885,0.4089,0.3395
track_17618,14.8484,13.9364,0.3796,0.3026
track_17640,14.8636,13.6801,0.4073,0.2848
track_17644,12.6207,12.0452,0.2290,0.1836
track_17655,15.2630,14.5220,0.4217,0.3466
track_17660,18.6278,17.3896,0.5152,0.4454
track_17673,17.0849,16.0802,0.4157,0.3165
track_17675,18.3492,16.8154,0.5943,0.4916
track_17676,14.4788,13.6414,0.1887,0.1329
track_17712,15.5365,14.7386,0.3516,0.2667
track_17735,14.6870,13.7176,0.3620,0.2931
track_17760,19.8631,18.1244,0.6139,0.5098
track_17762,17.1474,15.8912,0.4025,0.3240
track_17769,20.1235,18.7036,0.5698,0.5032
track_17770,16.0485,15.3426,0.3925,0.3328
track_17785,15.3972,14.2939,0.4121,0.3293
track_17819,16.6702,15.0696,0.5538,0.4515
track_17833,17.8715,16.9979,0.4511,0.3765
track_17843,19.0211,17.2620,0.4919,0.3913
track_17848,14.0185,13.2421,0.3089,0.2467
track_17863,14.2887,13.7487,0.3027,0.2386
track_17868,15.0094,14.2028,0.4021,0.3073
track_17871,15.6652,14.7485,0.3526,0.2924
track_17874,16.3881,15.1151,0.5504,0.4408
track_17875,13.1417,12.4159,0.2221,0.1608
track_17879,13.8631,13.3546,0.2366,0.1952
track_17897,16.0897,14.6750,0.4189,0.3269
track_17932,17.6885,16.6576,0.4984,0.4326
track_17937,15.0284,14.1686,0.3559,0.2757
track_17941,16.1224,15.4800,0.4368,0.3517
track_17943,17.7267,16.5584,0.4693,0.4057
track_17959,22.6347,21.2841,0.5887,0.5206
track_17972,14.5106,13.6463,0.3308,0.2729
track_17985,17.8195,16.7054,0.3805,0.3323
track_18025,12.7527,12.3512,0.2141,0.1660
track_18027,13.0709,12.5046,0.2741,0.2314
track_18034,15.5345,14.8960,0.3779,0.3038
track_18045,18.0831,17.2026,0.4519,0.3935
track_18058,16.5008,15.6402,0.3143,0.2576
track_18076,19.0946,18.0836,0.4119,0.3574
track_18118,18.9497,17.2610,0.3769,0.3276
track_18132,17.3264,16.4001,0.2665,0.2161
track_18142,20.4306,18.9366,0.4270,0.3638
track_18149,25.7046,23.5652,0.5784,0.5192
track_18151,20.8613,19.4481,0.4577,0.4009
track_18157,15.2727,14.6555,0.4373,0.3546
track_18173,19.9367,18.3876,0.4926,0.3941
track_18185,17.6279,16.5244,0.4438,0.3771
track_18192,17.8820,16.1128,0.3624,0.3075
track_18204,17.0542,15.9808,0.2977,0.2577
track_18208,14.4219,13.9184,0.2226,0.1877
track_18215,19.8679,18.2666,0.3626,0.3149
track_18219,15.2935,14.5161,0.4121,0.3145
track_18237,17.4942,16.5158,0.4147,0.3429
track_18285,14.8931,13.8559,0.3755,0.2943
track_18300,13.9430,13.2568,0.3470,0.2757
track_18327,14.6088,13.6627,0.3755,0.2998
track_18329,13.8012,13.0531,0.1998,0.1641
track_18335,16.1185,14.8927,0.4467,0.3523
track_18338,15.8236,14.8869,0.4285,0.3346
track_18356,16.7203,15.7854,0.3755,0.3119
track_18360,18.8700,18.1450,0.5287,0.4715
track_18379,15.2578,14.1225,0.4411,0.3535
track_18431,16.1137,14.7735,0.4971,0.3901
track_18438,13.2127,12.6826,0.3448,0.3092
track_18441,13.1691,12.4031,0.2905,0.2233
track_18467,13.0156,12.6699,0.1954,0.1622
track_18470,13.3211,12.7191,0.2792,0.2343
track_18476,19.6657,18.7726,0.4427,0.3691
track_18480,21.4079,19.4955,0.4793,0.4003
track_18496,20.8293,18.8056,0.4538,0.3712
track_18532,17.9789,17.3027,0.4192,0.3823
track_18547,18.5215,17.0788,0.3690,0.3183
track_18566,15.2549,14.6088,0.3025,0.2428
track_18582,18.0942,16.9546,0.4338,0.3524
track_18591,19.8468,18.9536,0.4725,0.3915
track_18594,21.6273,19.7464,0.4750,0.4006
track_18616,17.5649,16.7741,0.4517,0.3891
track_18620,16.3202,15.1452,0.4129,0.3320
track_18655,15.6627,14.3687,0.4649,0.3519
track_18666,17.2780,16.1097,0.4508,0.3953
track_18682,16.3048,15.5082,0.3303,0.2766
track_18704,14.0575,13.5890,0.2140,0.1787
track_18706,15.6294,14.9845,0.3425,0.2989
track_18707,14.2734,13.7945,0.3223,0.2594
track_18733,18.0555,16.9831,0.5556,0.4720
track_18740,18.6931,17.1615,0.4091,0.3524
track_18745,17.2475,16.3223,0.4707,0.4044
track_18755,18.6310,17.6235,0.4932,0.4398
track_18761,13.6356,12.9866,0.2922,0.2318
track_18763,17.8249,16.9303,0.4509,0.3950
track_18775,14.7110,13.8643,0.3979,0.3226
track_18795,13.1113,12.5309,0.2618,0.1952
track_18798,18.3545,16.9267,0.4623,0.3895
track_18820,14.8860,14.3288,0.2666,0.2170
track_18824,16.5432,16.0900,0.2911,0.2425
track_18850,14.7320,14.1185,0.2973,0.2355
track_18893,14.4589,13.6246,0.3143,0.2287
track_18906,16.0151,14.9143,0.4181,0.3217
track_18928,14.6587,14.1223,0.3412,0.2936
track_18935,15.8034,14.5269,0.3585,0.2476
track_18939,14.8930,13.9814,0.3671,0.2650
track_18964,16.8102,15.1261,0.5927,0.4772
track_18997,16.4380,14.8354,0.5307,0.4306
track_18999,16.3849,15.7232,0.3667,0.3147
track_19027,14.5314,13.7148,0.3610,0.2804
track_19029,15.3006,14.6668,0.2543,0.2182
track_19040,14.9116,14.1259,0.4314,0.3618
track_19054,15.1128,14.3834,0.3427,0.2703
track_19071,15.2008,14.0331,0.4315,0.3239
track_19095,22.5148,21.5073,0.5294,0.5174
track_19134,16.3620,15.7440,0.3309,0.2745
track_19140,14.9293,14.3614,0.3886,0.3259
track_19161,15.0646,14.2948,0.2688,0.2238
track_19166,15.4231,14.4012,0.4274,0.3242
track_19173,14.3024,13.7675,0.2804,0.2471
track_19178,16.2684,15.1774,0.3622,0.2425
track_19201,15.3338,14.2892,0.3999,0.2887
track_19218,16.9143,15.8044,0.4982,0.4322
track_19232,18.8756,17.2086,0.4848,0.4224
track_19240,13.1863,12.7419,0.2718,0.2259
track_19256,16.5292,15.7627,0.3438,0.2777
track_19257,13.7287,13.2686,0.2401,0.2125
track_19258,14.9080,14.1538,0.4389,0.3810
track_19264,14.2419,13.5187,0.3189,0.2450
track_19276,16.4634,15.7432,0.3957,0.3648
track_19291,13.4353,13.0078,0.1316,0.0851
track_19297,12.9489,12.5737,0.2660,0.2118
track_19300,14.4463,13.8079,0.3734,0.2919
track_19307,16.8782,15.7245,0.3844,0.3065
track_19326,17.6380,16.8037,0.3761,0.3416
track_19333,14.5304,13.8357,0.3164,0.2610
track_19356,14.7178,13.7014,0.3582,0.2607
track_19391,17.3070,16.3643,0.4127,0.3543
track_19403,16.3320,15.1084,0.5068,0.4250
track_19407,17.8653,16.3612,0.5432,0.4636
track_19421,17.0946,16.0389,0.3646,0.3066
track_19435,16.4954,15.7857,0.3700,0.3095
track_19437,13.4401,12.9694,0.2811,0.2398
track_19447,15.2803,14.5611,0.3573,0.3000
track_19475,14.1257,13.4540,0.3038,0.2365
track_19484,15.0086,13.8723,0.4022,0.3123
track_19486,12.6487,12.2466,0.1418,0.1061
track_19511,16.5723,15.7441,0.3548,0.2851
track_19522,16.3795,15.7179,0.3644,0.2898
track_19525,14.5161,13.7896,0.2942,0.2371
track_19537,18.2764,16.5903,0.5348,0.4253
track_19542,17.9069,17.0508,0.4146,0.3761
track_19545,19.7460,17.9378,0.4589,0.3490
track_19577,19.2049,18.1086,0.4395,0.3676
track_19641,18.7389,17.0189,0.6325,0.5168
track_19644,15.8607,14.3214,0.5274,0.4376
track_19725,18.4167,17.6383,0.4093,0.3735
track_19727,18.0645,17.0888,0.3361,0.2936
track_19739,19.5844,17.7115,0.2928,0.2702
track_19754,17.0357,16.1620,0.3734,0.3309
track_19763,15.7455,15.0737,0.4181,0.3764
track_19766,16.5981,15.4822,0.4788,0.3667
track_19770,14.4852,13.7981,0.2975,0.2208
track_19810,19.9838,17.9849,0.4791,0.4080
track_19841,15.9482,15.0808,0.3902,0.3292
track_19848,17.0604,15.9637,0.3017,0.2317
