track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_19766,15.9673,15.2340,0.3944,0.3379
track_19770,17.3812,16.3360,0.5460,0.4659
track_19810,20.0740,18.7565,0.4526,0.3827
track_19841,16.9859,15.6926,0.3897,0.3032
track_19848,20.8413,19.1451,0.5879,0.4948
track_19858,20.8069,19.3278,0.6281,0.5469
track_19872,16.4882,16.0105,0.4224,0.3448
track_19873,16.9428,15.2203,0.2665,0.2058
track_19883,15.2402,14.5474,0.3452,0.2990
track_19916,20.2461,18.7660,0.4040,0.3204
track_19918,17.5826,16.0816,0.5608,0.4794
track_19919,18.0095,16.9378,0.4984,0.4047
track_19923,17.9707,16.9560,0.6292,0.5436
track_19928,13.2409,12.5553,0.3562,0.3169
track_19929,16.3353,15.2883,0.5439,0.4693
track_19956,13.3597,13.0958,0.1953,0.1685
track_19959,16.0629,15.0772,0.5006,0.4164
track_19962,15.0892,14.3067,0.4076,0.3458
track_19968,20.5800,19.6836,0.6202,0.5265
track_19975,16.1773,15.3747,0.3701,0.3059
track_19981,15.2184,14.5509,0.4535,0.3801
track_20018,18.3103,17.2936,0.5158,0.4261
track_20035,14.2726,13.6550,0.3081,0.2581
track_20039,14.6362,14.0708,0.3663,0.2952
track_20048,17.7377,16.5397,0.6359,0.5369
track_20058,18.3986,17.5658,0.5458,0.4378
track_20060,17.2398,16.4358,0.5616,0.5180
track_20068,16.0174,15.1372,0.4082,0.3526
track_20082,18.9403,17.3524,0.4448,0.3694
track_20083,15.9579,15.1424,0.5622,0.4992
track_20093,16.1008,15.2917,0.5165,0.4316
track_20094,18.0340,16.6996,0.5726,0.5047
track_20121,18.2261,17.2446,0.5306,0.4602
track_20127,16.0592,15.3236,0.5085,0.4291
track_20143,15.0110,14.2307,0.4093,0.3396
track_20145,16.2336,15.3239,0.3444,0.3112
track_20166,19.8305,19.2114,0.5130,0.4474
track_20173,16.8730,15.4512,0.5294,0.4503
track_20179,17.4266,16.2406,0.6398,0.5410
track_20206,16.2957,15.1218,0.5339,0.4557
track_20209,18.7990,17.1642,0.4997,0.4043
track_20211,20.4466,19.5234,0.5622,0.4830
track_20212,18.4845,17.4666,0.5015,0.4358
track_20225,18.0328,17.3197,0.4152,0.3668
track_20246,19.8203,18.4384,0.6526,0.5675
track_20247,20.3670,19.3175,0.5440,0.4366
track_20273,16.1817,15.2918,0.4828,0.4163
track_20280,20.8901,19.0280,0.6273,0.5392
track_20289,15.3792,14.8127,0.3957,0.3139
track_20291,17.3961,16.0531,0.5450,0.4489
track_20306,16.7023,15.7386,0.5076,0.4342
track_20322,22.4890,20.6309,0.5794,0.4886
track_20332,20.7569,18.2708,0.6909,0.6090
track_20339,16.7961,15.8861,0.5087,0.4337
track_20342,18.4080,17.6371,0.5565,0.4578
track_20344,18.0153,16.9667,0.4463,0.3680
track_20367,21.3957,19.0226,0.4378,0.3352
track_20378,17.1188,16.0278,0.5454,0.4632
track_20379,14.5012,13.8005,0.4141,0.3445
track_20407,17.4988,16.4655,0.4572,0.3663
track_20430,16.4707,14.8186,0.4837,0.4006
track_20462,14.5462,13.9374,0.4109,0.3572
track_20510,15.7073,14.8288,0.4162,0.3634
track_20517,15.3372,14.7991,0.4079,0.3399
track_20518,15.2803,14.5548,0.3989,0.3179
track_20525,17.1460,16.2216,0.4849,0.4258
track_20526,17.8102,16.8922,0.5340,0.4436
track_20548,18.3855,17.5261,0.5213,0.4461
track_20558,18.1071,17.3398,0.5012,0.4581
track_20564,17.6861,17.1673,0.4231,0.3501
track_20583,16.5027,15.8206,0.4827,0.4032
track_20599,18.8972,17.0744,0.7008,0.6038
track_20601,16.7728,15.7550,0.5334,0.4561
track_20614,19.7753,18.1891,0.6591,0.5781
track_20629,15.8534,15.1218,0.4340,0.3431
track_20637,17.1288,15.7205,0.5434,0.4390
track_20644,16.9809,16.1044,0.4911,0.4030
track_20662,17.1271,15.8420,0.4949,0.4329
track_20672,17.6257,16.2939,0.5681,0.4625
track_20675,15.5709,14.7242,0.5186,0.4220
track_20694,20.1371,19.3170,0.5599,0.4853
track_20695,18.4330,17.2630,0.5714,0.4888
track_20696,17.8288,16.9364,0.4260,0.3505
track_20706,16.3845,15.5514,0.5568,0.4685
track_20719,15.8588,14.7164,0.5026,0.4243
track_20723,16.9756,15.9340,0.4882,0.4011
track_20726,15.5424,14.8741,0.3966,0.3264
track_20733,15.3166,14.5415,0.5277,0.4444
track_20735,17.1053,15.8426,0.5772,0.4758
track_20736,16.1490,15.2746,0.5015,0.4077
track_20737,19.9378,18.3634,0.5824,0.4729
track_20756,17.9162,16.9689,0.4883,0.3993
track_20791,16.1984,15.4618,0.3840,0.3130
track_20797,18.7398,17.8634,0.4916,0.4120
track_20812,17.0101,16.3818,0.4178,0.3456
track_20818,20.8007,18.4908,0.7734,0.6716
track_20823,19.5761,18.1278,0.5891,0.5018
track_20825,16.9416,16.3217,0.4866,0.4003
track_20829,14.6910,13.8672,0.4111,0.3351
track_20851,20.0514,18.9208,0.4919,0.3977
track_20879,16.6570,15.5353,0.5722,0.4867
track_20908,17.0040,16.0972,0.4176,0.3430
track_20953,19.8206,18.8992,0.6299,0.5566
track_20960,20.9853,19.5627,0.6468,0.5576
track_20980,19.3395,17.9757,0.6752,0.5821
track_21021,18.7428,17.6440,0.5185,0.4408
track_21024,17.3662,16.6065,0.5202,0.4557
track_21033,16.1228,15.3840,0.5010,0.4337
track_21045,14.6868,14.1792,0.3310,0.2760
track_21049,22.3311,20.0181,0.6835,0.5756
track_21053,18.2598,16.6478,0.6610,0.5616
track_21059,22.4573,21.1295,0.6611,0.5765
track_21064,16.5703,15.5296,0.5640,0.4913
track_21074,20.3292,19.5137,0.4798,0.3925
track_21129,19.2141,17.6586,0.5598,0.4875
track_21136,16.6781,15.7959,0.4934,0.3853
track_21175,16.2031,15.2290,0.4291,0.3553
track_21183,16.5597,15.8226,0.4668,0.4010
track_21208,19.4259,17.8496,0.5893,0.4755
track_21241,17.8164,16.7574,0.5779,0.4946
track_21257,13.1968,12.8959,0.2368,0.1916
track_21259,15.8652,15.0418,0.4456,0.3685
track_21266,20.1857,18.3891,0.6834,0.5984
track_21282,22.0056,19.9825,0.7292,0.6304
track_21329,13.5729,12.8561,0.2655,0.2172
track_21362,17.3835,16.1936,0.6593,0.5678
track_21378,17.0555,15.8891,0.5807,0.4961
track_21380,13.5487,12.7663,0.2601,0.2166
track_21398,19.0134,17.3353,0.6487,0.5636
track_21455,14.2068,13.5868,0.3834,0.3338
track_21466,13.9802,13.5215,0.3155,0.2611
track_21481,14.4435,13.9228,0.4020,0.3460
track_21484,17.6470,16.6270,0.5553,0.4831
track_21497,19.6789,18.3890,0.6180,0.5173
track_21536,19.7697,18.3033,0.4881,0.3997
track_21583,18.2501,17.1439,0.6987,0.6130
track_21608,19.5551,17.5470,0.3799,0.3110
track_21625,18.3652,16.8772,0.6709,0.5635
track_21649,16.9647,15.6651,0.5390,0.4554
track_21674,19.4492,18.6530,0.5384,0.4329
track_21694,16.8171,15.8992,0.5744,0.4942
track_21708,18.9474,18.1387,0.4206,0.3477
track_21723,18.2937,16.7991,0.4311,0.3698
track_21725,16.8542,16.2456,0.4449,0.4082
track_21728,14.9062,14.1895,0.3808,0.3022
track_21730,16.7492,15.2976,0.4230,0.3378
track_21793,17.7005,16.6558,0.5798,0.4662
track_21846,13.9685,13.2468,0.3888,0.3318
track_21864,18.2377,16.7723,0.6337,0.5568
track_21870,15.3630,14.5439,0.3560,0.3051
track_21874,16.1744,15.2994,0.2320,0.1913
track_21888,16.1679,15.0100,0.4745,0.3775
track_21891,15.3704,14.8077,0.3545,0.3110
track_21911,14.6779,14.0724,0.4152,0.3405
track_21928,16.5293,15.7828,0.5603,0.4826
track_21931,18.2692,16.9570,0.6858,0.5926
track_21999,15.5179,14.7335,0.4325,0.3648
track_22002,20.3264,18.6835,0.7306,0.6369
track_22006,15.8425,14.8074,0.4748,0.4111
track_22009,16.6247,15.6514,0.4691,0.3928
track_22018,18.9499,17.6730,0.5519,0.4906
track_22033,15.9480,14.8749,0.5663,0.4877
track_22047,18.7034,17.5628,0.4073,0.3486
track_22062,15.5064,14.5184,0.4024,0.3029
track_22064,19.3865,18.2078,0.6648,0.5726
track_22085,20.0053,19.0760,0.5909,0.5004
track_22131,15.5643,15.1563,0.4104,0.3313
track_22133,19.1351,18.0049,0.4291,0.3405
track_22136,15.2970,14.5401,0.3966,0.3271
track_22140,14.8017,14.1910,0.4184,0.3719
track_22155,17.9939,16.9014,0.6451,0.5659
track_22161,17.5374,16.7427,0.4358,0.3593
track_22188,16.9096,15.9531,0.6481,0.5772
track_22198,16.0675,15.3577,0.5823,0.4991
track_22214,21.3695,20.5051,0.5602,0.4611
track_22223,18.9074,17.8648,0.6086,0.5492
track_22256,13.7926,13.0998,0.3228,0.2539
track_22259,17.8481,16.5820,0.6080,0.5291
track_22269,16.3035,15.3467,0.5230,0.4370
track_22277,19.0723,17.2248,0.3720,0.3028
track_22314,17.9914,16.7799,0.4265,0.3809
track_22330,16.4670,15.4683,0.3759,0.3092
track_22336,15.7015,14.8570,0.5927,0.5234
track_22338,18.6152,17.0245,0.4794,0.4072
track_22339,17.0440,16.0304,0.4043,0.3376
track_22351,17.0445,15.8955,0.6118,0.5311
track_22409,15.9645,15.3839,0.4669,0.4065
track_22441,18.8777,17.4105,0.7148,0.6566
track_22442,15.4320,14.6310,0.5138,0.4369
track_22444,19.9980,19.0792,0.6130,0.5158
track_22446,17.0545,16.1863,0.5468,0.4792
track_22457,15.6856,14.9918,0.4807,0.4183
track_22481,21.6201,20.4484,0.5800,0.5137
track_22486,17.7275,16.4560,0.6103,0.5001
track_22515,14.6954,13.9211,0.3955,0.3377
track_22528,17.3056,16.1991,0.4142,0.3606
track_22533,16.0856,15.2405,0.5478,0.4717
track_22560,15.8615,15.0360,0.3010,0.2489
track_22562,14.6091,13.7551,0.4161,0.3591
track_22567,23.3691,22.0727,0.6147,0.5153
track_22570,15.4192,14.6321,0.4536,0.3974
track_22577,17.9774,16.4227,0.6822,0.5643
track_22579,15.0811,14.2860,0.3673,0.2969
track_22583,18.7538,17.3256,0.4008,0.3542
track_22591,14.7083,14.0934,0.3768,0.2931
track_22610,17.0997,16.1058,0.5514,0.4986
track_22628,16.5445,15.3034,0.5201,0.4267
track_22640,16.5727,15.8412,0.4078,0.3272
track_22645,15.8583,15.2105,0.3197,0.2673
track_22656,16.1663,15.3113,0.3736,0.3162
track_22661,14.6088,13.9917,0.4490,0.3548
track_22681,15.6467,14.9597,0.4529,0.3936
track_22698,15.8167,14.9792,0.4190,0.3596
track_22716,18.4864,17.1257,0.5248,0.4456
track_22754,17.6116,16.4185,0.6141,0.5526
track_22769,14.9576,14.0249,0.3726,0.2993
track_22786,16.8851,16.0062,0.5210,0.4208
track_22820,17.8491,17.0142,0.5423,0.4622
track_22822,15.9073,14.8649,0.5135,0.4276
track_22835,14.2894,13.3807,0.4028,0.3446
track_22844,16.8441,15.7188,0.4173,0.3418
track_22845,18.4857,17.3156,0.5341,0.4489
track_22864,16.3689,15.6440,0.5933,0.5250
track_22870,18.6108,17.4223,0.5209,0.4078
track_22885,17.7165,16.4074,0.5982,0.5244
track_22894,19.8932,18.8178,0.6173,0.5296
track_22926,16.3111,15.6162,0.4185,0.3561
track_22938,16.4460,15.2947,0.4851,0.3959
track_22953,17.1748,16.1435,0.4659,0.4007
track_22958,15.0156,14.3727,0.4973,0.4367
