epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.417371,0.954917,29.2292,14.5145,0.00029163,0.219893,0.223436,0,0.237952,0.237952,245.14,11.29,256.42
2,0.556434,0.359743,63.9640,63.4635,0.00054496,0.226173,0.236795,0,0.102102,0.102102,243.87,11.16,255.03
3,0.391502,0.297178,68.8689,68.5686,0.00079829,0.221054,0.233029,0,0.087945,0.087945,243.76,11.23,254.99
4,0.335645,0.261211,71.6717,71.3714,0.00079943,0.218436,0.225461,0,0.079365,0.079365,243.54,11.22,254.76
5,0.289100,0.247876,72.8729,72.7728,0.00079771,0.216722,0.222936,0,0.074932,0.074932,243.82,11.26,255.08
6,0.261428,0.240561,72.9730,72.9730,0.00079485,0.215216,0.220628,0,0.073788,0.073788,243.38,11.21,254.59
7,0.240340,0.232844,74.4745,74.3744,0.00079084,0.215149,0.220821,0,0.071357,0.071357,243.44,11.32,254.77
8,0.220505,0.219781,75.3754,75.2753,0.00078572,0.213031,0.219336,0,0.066781,0.066781,243.39,11.29,254.69
9,0.209447,0.222483,75.7758,75.6757,0.00077948,0.212592,0.218882,0,0.066209,0.066209,243.20,11.25,254.45
10,0.196637,0.210277,77.6777,77.5776,0.00077215,0.211503,0.219658,0,0.062777,0.062777,243.15,11.27,254.42
11,0.190092,0.209021,77.5776,77.5776,0.00076375,0.210799,0.219135,0,0.061776,0.061776,243.42,11.26,254.69
12,0.179429,0.198258,77.7778,77.6777,0.00075432,0.210170,0.219534,0,0.060203,0.060203,243.36,11.34,254.70
13,0.167509,0.196043,78.3784,78.2783,0.00074386,0.209772,0.220658,0,0.058058,0.058058,242.94,11.27,254.21
14,0.161732,0.193378,78.0781,78.0781,0.00073242,0.207517,0.219727,0,0.059345,0.059345,243.12,11.27,254.39
15,0.153679,0.192833,78.3784,78.3784,0.00072002,0.208899,0.221014,0,0.058344,0.058344,242.89,11.27,254.15
16,0.150469,0.192804,78.9790,78.9790,0.00070675,0.208328,0.221321,0,0.057629,0.057629,243.16,11.34,254.50
17,0.141613,0.193086,78.7788,78.6787,0.00069257,0.207848,0.221528,0,0.057486,0.057486,242.80,11.28,254.07
18,0.135852,0.198005,78.6787,78.5786,0.00067757,0.206607,0.221631,0,0.057915,0.057915,242.83,11.29,254.12
19,0.126799,0.199289,78.5786,78.4785,0.00066182,0.206442,0.221442,0,0.057915,0.057915,242.88,11.27,254.15
20,0.120267,0.197173,79.6797,79.4795,0.00064533,0.205764,0.222220,0,0.055484,0.055484,242.73,11.31,254.04
21,0.118842,0.194001,78.9790,78.8789,0.00062814,0.206263,0.223272,0,0.055913,0.055913,242.57,11.26,253.83
22,0.108339,0.192394,79.0791,78.9790,0.00061031,0.205067,0.223310,0,0.054340,0.054340,242.52,11.26,253.78
23,0.103247,0.194450,79.7798,79.6797,0.00059190,0.204930,0.223385,0,0.054340,0.054340,242.52,11.33,253.85
24,0.098055,0.197289,79.4795,79.3794,0.00057297,0.202981,0.223282,0,0.055055,0.055055,242.63,11.32,253.95
25,0.093737,0.195561,79.2793,79.1792,0.00055357,0.202628,0.223996,0,0.054769,0.054769,242.91,11.24,254.15
26,0.087789,0.200553,79.0791,78.9790,0.00053377,0.202001,0.224031,0,0.054912,0.054912,242.63,11.25,253.88
27,0.085049,0.199764,79.3794,79.3794,0.00051366,0.201214,0.224740,0,0.053625,0.053625,242.54,11.31,253.85
28,0.080289,0.199783,78.6787,78.6787,0.00049327,0.199913,0.225243,0,0.054197,0.054197,242.60,11.32,253.92
29,0.077512,0.206462,79.3794,79.4795,0.00047261,0.200972,0.226163,0,0.055055,0.055055,242.14,11.27,253.41
30,0.070018,0.214708,78.5786,78.5786,0.00045180,0.199356,0.226851,0,0.056342,0.056342,242.55,11.27,253.82
31,0.066725,0.219531,78.4785,78.4785,0.00043089,0.199377,0.226824,0,0.055484,0.055484,242.08,11.31,253.39
32,0.062663,0.227150,78.8789,78.8789,0.00040999,0.199239,0.226435,0,0.055341,0.055341,242.38,11.32,253.70
33,0.058864,0.229411,78.8789,78.8789,0.00038908,0.198902,0.226544,0,0.053625,0.053625,242.42,11.18,253.61
34,0.056655,0.234080,78.6787,78.6787,0.00036826,0.199251,0.227096,0,0.054340,0.054340,242.22,11.24,253.46
35,0.053056,0.233688,78.7788,78.7788,0.00034760,0.198444,0.227417,0,0.054340,0.054340,242.14,11.17,253.31
36,0.051172,0.239433,78.5786,78.5786,0.00032719,0.197406,0.227257,0,0.056056,0.056056,242.17,11.19,253.36
37,0.048028,0.242390,78.8789,78.7788,0.00030704,0.196353,0.228067,0,0.054769,0.054769,242.07,11.14,253.20
38,0.046214,0.245336,78.4785,78.4785,0.00028722,0.196440,0.228548,0,0.054483,0.054483,241.90,11.13,253.03
39,0.044555,0.255132,77.7778,77.7778,0.00026781,0.195479,0.227872,0,0.056914,0.056914,242.74,11.38,254.12
40,0.042797,0.268950,78.7788,78.7788,0.00024889,0.195084,0.227780,0,0.055484,0.055484,242.22,11.20,253.42
41,0.040760,0.271024,78.5786,78.5786,0.00023046,0.195628,0.227769,0,0.055484,0.055484,242.51,11.17,253.69
