epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.499800,1.240194,8.6086,3.0030,0.00029205,0.220088,0.218524,0,0.329758,0.329758,245.47,11.22,256.69
2,0.604855,0.356789,63.8639,63.0631,0.00054539,0.225993,0.227786,0,0.101959,0.101959,244.80,11.20,256.00
3,0.392517,0.294157,69.2693,68.6687,0.00079829,0.221697,0.225166,0,0.087230,0.087230,244.38,11.25,255.63
4,0.339108,0.266288,71.2713,71.1712,0.00079943,0.218921,0.220190,0,0.079222,0.079222,244.38,11.44,255.83
5,0.289738,0.246766,73.3734,73.2733,0.00079771,0.218462,0.221053,0,0.075361,0.075361,244.42,11.36,255.78
6,0.266183,0.243628,73.3734,73.2733,0.00079485,0.216779,0.219168,0,0.074503,0.074503,244.07,11.38,255.45
7,0.241431,0.225719,75.3754,75.3754,0.00079084,0.215126,0.220136,0,0.067496,0.067496,243.95,11.39,255.34
8,0.225138,0.222089,75.8759,75.8759,0.00078571,0.214351,0.220291,0,0.067496,0.067496,243.88,11.39,255.26
9,0.218995,0.223803,75.6757,75.5756,0.00077948,0.214636,0.220384,0,0.068640,0.068640,243.88,11.40,255.29
10,0.203928,0.208272,76.3764,76.2763,0.00077216,0.214839,0.221432,0,0.064636,0.064636,243.72,11.31,255.03
11,0.191217,0.205989,75.9760,75.8759,0.00076376,0.212957,0.220716,0,0.063635,0.063635,243.71,11.36,255.07
12,0.182600,0.208924,76.3764,76.2763,0.00075432,0.212824,0.222338,0,0.063778,0.063778,243.45,11.33,254.78
13,0.172166,0.206495,76.7768,76.7768,0.00074388,0.212329,0.222368,0,0.062634,0.062634,243.43,11.26,254.69
14,0.164762,0.196666,77.1772,77.0771,0.00073244,0.212565,0.222745,0,0.059345,0.059345,243.77,11.37,255.15
15,0.155504,0.196644,77.2773,77.2773,0.00072005,0.212296,0.223526,0,0.058630,0.058630,243.10,11.33,254.43
16,0.144204,0.195113,76.6767,76.5766,0.00070675,0.212994,0.225248,0,0.058630,0.058630,243.56,11.28,254.84
17,0.143517,0.192192,76.6767,76.6767,0.00069260,0.211196,0.224134,0,0.058630,0.058630,243.16,11.47,254.63
18,0.134302,0.191031,77.5776,77.5776,0.00067760,0.208372,0.222500,0,0.057343,0.057343,243.18,11.30,254.48
19,0.126027,0.188892,77.5776,77.5776,0.00066182,0.209289,0.224550,0,0.057200,0.057200,243.38,11.39,254.76
20,0.119570,0.197139,78.1782,78.1782,0.00064531,0.207030,0.223518,0,0.055484,0.055484,243.37,11.26,254.63
21,0.113494,0.197967,77.6777,77.6777,0.00062811,0.206138,0.223370,0,0.056628,0.056628,243.17,11.34,254.51
22,0.106627,0.198848,78.0781,78.0781,0.00061027,0.206339,0.224041,0,0.057629,0.057629,243.43,11.33,254.76
23,0.099980,0.200043,78.0781,78.0781,0.00059190,0.206107,0.224989,0,0.058487,0.058487,243.11,11.30,254.41
24,0.096282,0.199425,78.3784,78.3784,0.00057297,0.204830,0.224554,0,0.057629,0.057629,243.01,11.39,254.40
25,0.090871,0.202731,78.3784,78.2783,0.00055357,0.204062,0.223598,0,0.056485,0.056485,243.07,11.44,254.51
26,0.084720,0.205238,78.5786,78.5786,0.00053381,0.204275,0.224845,0,0.056342,0.056342,243.17,11.39,254.56
27,0.081800,0.210030,78.7788,78.6787,0.00051366,0.204671,0.225798,0,0.055484,0.055484,242.82,11.32,254.14
28,0.077083,0.212641,78.5786,78.5786,0.00049323,0.204319,0.226747,0,0.054340,0.054340,242.78,11.37,254.15
29,0.073029,0.213247,79.5796,79.5796,0.00047258,0.204250,0.227975,0,0.052910,0.052910,242.94,11.39,254.33
30,0.068161,0.221565,79.2793,79.2793,0.00045177,0.203615,0.228269,0,0.053053,0.053053,242.90,11.36,254.26
31,0.067788,0.230529,79.4795,79.4795,0.00043093,0.203444,0.229337,0,0.054769,0.054769,242.47,11.37,253.84
32,0.062505,0.236182,79.2793,79.2793,0.00040999,0.202443,0.229192,0,0.054340,0.054340,242.59,11.30,253.89
33,0.058064,0.236721,79.3794,79.3794,0.00038908,0.202364,0.229446,0,0.054483,0.054483,242.63,11.25,253.88
34,0.056414,0.239148,79.2793,79.2793,0.00036826,0.201730,0.229144,0,0.054769,0.054769,242.24,11.35,253.59
35,0.052309,0.242983,78.5786,78.5786,0.00034760,0.200973,0.229030,0,0.055198,0.055198,242.60,11.27,253.87
36,0.051740,0.245076,78.8789,78.8789,0.00032719,0.201308,0.230111,0,0.055055,0.055055,242.63,11.31,253.94
37,0.048450,0.251612,79.0791,79.0791,0.00030704,0.200247,0.230223,0,0.055198,0.055198,242.20,11.19,253.39
38,0.046769,0.259782,78.7788,78.6787,0.00028722,0.199588,0.230176,0,0.055341,0.055341,242.24,11.21,253.45
39,0.045448,0.262624,79.0791,79.0791,0.00026781,0.200427,0.230926,0,0.055055,0.055055,242.43,11.25,253.68
40,0.044618,0.262766,79.6797,79.6797,0.00024886,0.199019,0.229761,0,0.054197,0.054197,242.32,11.32,253.64
41,0.039686,0.262758,78.9790,78.9790,0.00023043,0.198336,0.229760,0,0.055770,0.055770,244.28,12.01,256.29
42,0.039491,0.267808,78.8789,78.8789,0.00021257,0.198079,0.230381,0,0.056485,0.056485,262.47,11.28,273.75
43,0.037700,0.270414,79.1792,79.1792,0.00019535,0.198000,0.230988,0,0.055198,0.055198,242.33,11.22,253.55
44,0.036612,0.268849,79.0791,79.0791,0.00017881,0.197753,0.230999,0,0.055198,0.055198,242.49,11.31,253.79
45,0.036418,0.275972,78.6787,78.6787,0.00016300,0.197065,0.230643,0,0.056485,0.056485,254.69,11.24,265.93
46,0.034072,0.278509,78.6787,78.6787,0.00014797,0.197151,0.231123,0,0.056342,0.056342,262.01,11.20,273.21
47,0.032879,0.278594,79.5796,79.5796,0.00013379,0.196383,0.231182,0,0.055627,0.055627,242.44,11.35,253.79
48,0.033056,0.279845,78.7788,78.7788,0.00012045,0.195708,0.230310,0,0.055627,0.055627,278.25,12.05,290.29
49,0.032025,0.281137,78.4785,78.4785,0.00010803,0.195014,0.230265,0,0.056485,0.056485,360.66,11.24,371.90
50,0.030634,0.287124,78.7788,78.7788,0.00009655,0.196143,0.230926,0,0.056199,0.056199,242.54,11.28,253.82
51,0.031075,0.288436,78.8789,78.8789,0.00008605,0.195640,0.230510,0,0.056199,0.056199,266.46,11.20,277.66
52,0.029344,0.293336,78.9790,78.9790,0.00007659,0.195618,0.230443,0,0.055770,0.055770,242.13,11.28,253.41
53,0.030167,0.293293,78.9790,78.9790,0.00006814,0.195243,0.230296,0,0.056056,0.056056,242.68,11.32,254.00
54,0.028866,0.295387,79.2793,79.2793,0.00006077,0.195054,0.230374,0,0.055341,0.055341,241.90,11.25,253.16
55,0.028721,0.296012,78.9790,78.9790,0.00005449,0.194985,0.230456,0,0.056056,0.056056,241.88,11.23,253.11
56,0.028866,0.297878,79.3794,79.2793,0.00004932,0.194407,0.230197,0,0.055770,0.055770,242.74,11.26,254.00
57,0.028650,0.297061,78.7788,78.7788,0.00004528,0.194638,0.230172,0,0.057486,0.057486,242.61,11.26,253.88
58,0.028315,0.298513,78.8789,78.7788,0.00004237,0.194090,0.230073,0,0.056771,0.056771,242.42,11.27,253.70
