epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.098907,0.700825,37.5375,36.5365,0.00029163,0.000000,0.000000,0,0.193622,0.193622,151.68,6.09,157.78
2,0.488421,0.331781,64.0641,63.9640,0.00054496,0.000000,0.000000,0,0.101101,0.101101,151.74,6.10,157.84
3,0.339668,0.267724,71.0711,71.0711,0.00079829,0.000000,0.000000,0,0.079794,0.079794,150.97,6.04,157.01
4,0.282094,0.243975,74.1742,74.0741,0.00079943,0.000000,0.000000,0,0.072930,0.072930,150.13,6.03,156.16
5,0.228958,0.220907,75.8759,75.8759,0.00079771,0.000000,0.000000,0,0.066781,0.066781,151.05,6.03,157.09
6,0.199948,0.208707,76.2763,76.2763,0.00079484,0.000000,0.000000,0,0.064779,0.064779,150.26,6.01,156.27
7,0.180264,0.199851,77.2773,77.2773,0.00079083,0.000000,0.000000,0,0.059917,0.059917,150.03,6.07,156.10
8,0.164950,0.194796,77.9780,77.9780,0.00078570,0.000000,0.000000,0,0.057200,0.057200,151.22,6.04,157.26
9,0.151300,0.188366,78.7788,78.7788,0.00077946,0.000000,0.000000,0,0.055484,0.055484,151.22,6.06,157.27
10,0.142365,0.182802,79.8799,79.8799,0.00077212,0.000000,0.000000,0,0.052767,0.052767,149.99,6.03,156.02
11,0.131371,0.181880,79.2793,79.1792,0.00076372,0.000000,0.000000,0,0.054340,0.054340,150.11,5.96,156.07
12,0.122273,0.182209,78.7788,78.7788,0.00075428,0.000000,0.000000,0,0.056199,0.056199,151.06,6.04,157.10
13,0.114230,0.186656,78.9790,78.8789,0.00074382,0.000000,0.000000,0,0.055341,0.055341,149.86,5.99,155.85
14,0.106967,0.189294,78.9790,78.9790,0.00073238,0.000000,0.000000,0,0.053625,0.053625,150.61,6.05,156.67
15,0.097528,0.191126,79.9800,79.9800,0.00072000,0.000000,0.000000,0,0.052195,0.052195,151.27,6.00,157.27
