epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.029285,0.636741,43.3433,42.0420,0.00029205,0.000000,0.000000,0,0.178893,0.178893,149.70,5.99,155.68
2,0.487231,0.350763,62.8629,62.4625,0.00054496,0.000000,0.000000,0,0.106535,0.106535,149.31,5.92,155.23
3,0.350026,0.284756,68.7688,68.6687,0.00079829,0.000000,0.000000,0,0.085371,0.085371,149.58,6.06,155.64
4,0.286216,0.254519,71.5716,71.5716,0.00079943,0.000000,0.000000,0,0.077363,0.077363,149.32,5.96,155.28
5,0.238184,0.228801,75.4755,75.4755,0.00079771,0.000000,0.000000,0,0.069212,0.069212,149.23,5.90,155.13
6,0.209655,0.213332,74.9750,74.9750,0.00079484,0.000000,0.000000,0,0.068354,0.068354,151.05,6.00,157.05
7,0.186112,0.211605,75.8759,75.8759,0.00079084,0.000000,0.000000,0,0.065923,0.065923,149.35,5.96,155.31
8,0.170538,0.199904,76.8769,76.8769,0.00078571,0.000000,0.000000,0,0.062920,0.062920,150.63,5.90,156.53
9,0.161739,0.196849,77.4775,77.4775,0.00077947,0.000000,0.000000,0,0.060632,0.060632,151.23,6.00,157.22
10,0.148057,0.192125,77.7778,77.7778,0.00077213,0.000000,0.000000,0,0.060203,0.060203,149.52,5.96,155.48
11,0.135532,0.186853,78.8789,78.8789,0.00076373,0.000000,0.000000,0,0.057343,0.057343,150.20,5.90,156.11
12,0.125931,0.184755,79.2793,79.2793,0.00075428,0.000000,0.000000,0,0.055484,0.055484,151.38,6.05,157.43
13,0.117726,0.186266,79.2793,79.2793,0.00074382,0.000000,0.000000,0,0.055055,0.055055,150.10,6.01,156.11
14,0.109457,0.187299,78.6787,78.6787,0.00073240,0.000000,0.000000,0,0.056628,0.056628,149.94,5.94,155.88
15,0.102972,0.185432,79.3794,79.2793,0.00072002,0.000000,0.000000,0,0.054769,0.054769,151.43,5.94,157.38
16,0.095971,0.183599,79.6797,79.5796,0.00070672,0.000000,0.000000,0,0.054054,0.054054,150.42,5.96,156.37
17,0.089569,0.187931,79.3794,79.2793,0.00069255,0.000000,0.000000,0,0.054340,0.054340,149.50,6.01,155.51
18,0.082887,0.190350,79.2793,79.0791,0.00067755,0.000000,0.000000,0,0.053625,0.053625,151.01,5.91,156.92
19,0.076715,0.191261,79.2793,79.2793,0.00066177,0.000000,0.000000,0,0.053482,0.053482,151.30,6.03,157.33
20,0.072084,0.193137,79.3794,79.3794,0.00064525,0.000000,0.000000,0,0.053911,0.053911,150.09,6.02,156.11
21,0.066977,0.197668,78.7788,78.7788,0.00062805,0.000000,0.000000,0,0.054769,0.054769,150.38,5.93,156.30
22,0.060274,0.203048,79.9800,79.8799,0.00061024,0.000000,0.000000,0,0.052481,0.052481,151.63,5.99,157.63
23,0.055850,0.208038,79.8799,79.8799,0.00059187,0.000000,0.000000,0,0.052767,0.052767,150.03,5.93,155.97
24,0.054345,0.214229,79.5796,79.5796,0.00057293,0.000000,0.000000,0,0.053196,0.053196,150.18,6.01,156.19
25,0.048092,0.215854,79.3794,79.3794,0.00055354,0.000000,0.000000,0,0.051909,0.051909,151.40,5.90,157.30
26,0.046426,0.217060,79.5796,79.5796,0.00053374,0.000000,0.000000,0,0.051623,0.051623,150.53,5.99,156.52
27,0.041823,0.222845,79.7798,79.7798,0.00051359,0.000000,0.000000,0,0.052338,0.052338,150.09,6.04,156.13
28,0.037950,0.230103,78.6787,78.6787,0.00049316,0.000000,0.000000,0,0.055198,0.055198,150.88,5.91,156.79
29,0.036305,0.234288,78.7788,78.7788,0.00047254,0.000000,0.000000,0,0.055341,0.055341,151.15,6.06,157.20
30,0.033902,0.235259,78.9790,78.9790,0.00045173,0.000000,0.000000,0,0.054054,0.054054,150.14,5.96,156.10
31,0.029827,0.237096,78.1782,78.1782,0.00043082,0.000000,0.000000,0,0.054340,0.054340,150.21,5.92,156.13
32,0.028964,0.242529,78.9790,78.9790,0.00040988,0.000000,0.000000,0,0.053625,0.053625,151.74,5.99,157.74
33,0.027146,0.247907,78.4785,78.4785,0.00038901,0.000000,0.000000,0,0.055484,0.055484,150.21,5.96,156.17
34,0.024785,0.252005,78.1782,78.1782,0.00036819,0.000000,0.000000,0,0.054769,0.054769,150.02,5.88,155.90
35,0.024961,0.250043,78.3784,78.3784,0.00034753,0.000000,0.000000,0,0.053768,0.053768,151.66,5.81,157.47
36,0.021024,0.250449,78.3784,78.3784,0.00032709,0.000000,0.000000,0,0.054483,0.054483,149.92,5.92,155.85
37,0.020685,0.254027,77.9780,77.9780,0.00030693,0.000000,0.000000,0,0.055341,0.055341,149.64,5.93,155.57
38,0.017594,0.258836,78.0781,78.0781,0.00028712,0.000000,0.000000,0,0.054769,0.054769,151.12,5.80,156.91
39,0.016752,0.264425,78.3784,78.3784,0.00026771,0.000000,0.000000,0,0.054483,0.054483,150.83,5.93,156.76
40,0.015988,0.266508,77.7778,77.7778,0.00024879,0.000000,0.000000,0,0.056342,0.056342,149.64,5.93,155.56
