track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_14227,16.5828,15.6323,0.5082,0.4381
track_14235,15.3910,14.3745,0.3307,0.2855
track_14259,16.0373,15.4394,0.3760,0.3083
track_14295,18.5117,17.3556,0.6240,0.5401
track_14304,16.7418,15.6572,0.5646,0.5058
track_14306,14.8759,14.3189,0.2633,0.2110
track_14313,18.1313,17.0208,0.4963,0.4475
track_14330,16.1483,15.1735,0.4583,0.3909
track_14336,16.3270,15.3633,0.5154,0.4325
track_14342,15.7077,15.0743,0.4177,0.3688
track_14343,17.3441,15.9811,0.5052,0.4267
track_14355,15.6602,15.0837,0.5848,0.5325
track_14367,15.4799,14.7322,0.4040,0.3540
track_14371,15.0580,14.3648,0.4294,0.3701
track_14372,18.5101,16.9343,0.6463,0.5578
track_14380,19.1554,18.1522,0.6392,0.5787
track_14393,17.1015,15.9495,0.6575,0.5821
track_14396,14.8591,13.9925,0.3248,0.2885
track_14411,19.1884,18.2169,0.4652,0.3635
track_14421,16.3074,15.3570,0.5778,0.5032
track_14442,19.5588,17.8368,0.6050,0.5167
track_14444,19.3400,18.0897,0.4412,0.3596
track_14446,16.0927,15.0779,0.5476,0.4883
track_14466,15.2581,14.5229,0.4166,0.3625
track_14470,24.0178,22.5420,0.6324,0.5733
track_14488,18.5857,17.8885,0.4916,0.4384
track_14505,19.3385,17.8548,0.5300,0.4677
track_14506,19.8930,18.7788,0.6110,0.5465
track_14516,19.6596,18.3554,0.5079,0.4380
track_14517,18.4412,17.6572,0.4837,0.4237
track_14534,18.0165,16.7377,0.6285,0.5590
track_14539,19.8432,18.6691,0.6923,0.6217
track_14550,16.2134,15.4342,0.5926,0.5292
track_14559,14.2317,13.3547,0.3218,0.2634
track_14574,15.7432,15.0602,0.4485,0.3800
track_14582,17.2087,16.2141,0.5796,0.4964
track_14583,16.7419,15.6337,0.5627,0.4913
track_14604,14.2334,13.6226,0.2543,0.1961
track_14605,18.0534,16.7482,0.5552,0.4911
track_14614,20.9013,19.4074,0.5326,0.4529
track_14648,15.4003,14.6403,0.4660,0.3847
track_14656,15.0417,14.4915,0.4011,0.3541
track_14661,16.5227,15.3624,0.5497,0.4732
track_14668,16.7390,16.0858,0.5382,0.4810
track_14696,15.7630,15.0485,0.3603,0.3102
track_14728,14.7000,14.0243,0.4665,0.4063
track_14747,19.1914,17.8924,0.6876,0.6100
track_14779,16.4664,15.5099,0.3830,0.3072
track_14839,15.0205,14.1309,0.3617,0.3220
track_14848,15.4329,14.7076,0.5077,0.4700
track_14868,16.9234,16.0516,0.5400,0.4604
track_14895,18.3679,17.3983,0.5097,0.4555
track_14914,18.9091,18.0296,0.5299,0.4418
track_14924,12.8305,12.3736,0.2421,0.2287
track_14926,15.1959,14.6720,0.4378,0.3682
track_14938,16.4049,15.2555,0.4990,0.4447
track_14943,19.6794,18.2568,0.5836,0.5177
track_14944,18.5153,17.5252,0.4392,0.3872
track_14958,15.7044,14.7746,0.4409,0.3928
track_14971,18.0243,16.9421,0.6662,0.6002
track_14981,15.5148,14.7925,0.3359,0.2872
track_14991,14.5692,13.7902,0.3919,0.3569
track_15001,21.8131,20.4577,0.6743,0.6132
track_15009,15.3531,14.5969,0.4114,0.3537
track_15015,16.7896,15.5436,0.4383,0.3925
track_15039,16.7142,15.8004,0.5771,0.5304
track_15045,15.3037,14.4762,0.5040,0.4274
track_15063,17.0734,16.1158,0.5704,0.5052
track_15103,18.2683,17.5339,0.5642,0.4930
track_15112,14.5844,13.8593,0.3261,0.2874
track_15120,15.8135,15.1906,0.5003,0.4265
track_15148,15.7368,14.5916,0.5778,0.5058
track_15153,18.1291,16.8789,0.5839,0.5099
track_15191,16.2090,15.3216,0.4829,0.4168
track_15223,16.9382,15.8589,0.5337,0.4784
track_15233,16.9065,15.8272,0.6785,0.6168
